Customer ID,Gender,Age,Income (USD/Month),,,
1,Male,36,16359,,,
2,Male,31,12069,,,
3,Female,27,12968,,,
4,Male,33,13803,,,
5,Male,24,9965,,,26562
6,Male,18,4232,,,
7,Male,31,15104,,,
8,Male,20,7496,,,
9,Male,32,21212,,,
10,Female,48,12768,,,
11,Female,27,26064,,,
12,Female,45,7426,,,
13,Male,28,8905,,,
14,Male,50,6461,,,
15,Male,35,2951,,,
16,Female,18,27285,,,
17,Male,59,23227,,,
18,Male,42,22586,,,
19,Female,47,24898,,,
20,Male,63,17551,,,
21,Male,39,15375,,,
22,Female,34,7627,,,
23,Female,28,19783,,,
24,Male,40,12701,,,
25,Male,30,17708,,,
26,Male,44,5343,,,
27,Female,36,2826,,,
28,Male,25,6808,,,
29,Female,59,12740,,,
30,Male,19,15361,,,
31,Female,29,5790,,,
32,Female,62,13535,,,
33,Female,22,10792,,,
34,Female,24,16935,,,
35,Female,39,21879,,,
36,Female,38,9050,,,
37,Female,25,20505,,,
38,Male,59,7232,,,
39,Male,23,18059,,,
40,Female,19,13106,,,
41,Male,30,19946,,,
42,Female,27,3120,,,
43,Male,27,5061,,,
44,Male,22,14987,,,
45,Male,21,19990,,,
46,Female,37,19348,,,
47,Male,33,13758,,,
48,Male,18,20946,,,
49,Female,47,23010,,,
50,Male,24,23726,,,
51,Male,25,32471,,,
52,Male,23,14300,,,
53,Male,37,4822,,,
54,Female,28,8227,,,
55,Female,27,22531,,,
56,Female,18,15353,,,
57,Male,53,15898,,,
58,Female,36,11686,,,
59,Male,56,9181,,,
60,Male,22,7305,,,
61,Female,63,3110,,,
62,Male,25,26144,,,
63,Male,40,8840,,,
64,Male,22,21502,,,
65,Female,51,11121,,,
66,Male,33,21248,,,
67,Male,25,5668,,,
68,Female,42,12108,,,
69,Male,23,15234,,,
70,Male,20,2197,,,
71,Male,35,2443,,,
72,Male,41,16769,,,
73,Male,33,11901,,,
74,Female,28,17736,,,
75,Female,59,15875,,,
76,Female,38,25142,,,
77,Female,60,11596,,,
78,Male,25,13369,,,
79,Female,34,20425,,,
80,Female,37,8040,,,
81,Male,24,8257,,,
82,Male,27,3304,,,
83,Female,22,23940,,,
84,Male,26,20449,,,
85,Male,19,19765,,,
86,Male,53,8566,,,
87,Female,60,14602,,,
88,Male,32,31206,,,
89,Male,24,5505,,,
90,Female,48,15095,,,
91,Male,35,18180,,,
92,Female,29,8309,,,
93,Male,29,6190,,,
94,Male,36,4891,,,
95,Male,39,11863,,,
96,Male,42,15447,,,
97,Male,45,3855,,,
98,Male,35,12557,,,
99,Male,26,7438,,,
100,Male,42,15913,,,
101,Female,25,22053,,,
102,Male,20,5189,,,
103,Female,27,15676,,,
104,Male,24,5519,,,
105,Male,31,16003,,,
106,Female,32,10550,,,
107,Female,36,23170,,,
108,Female,33,22845,,,
109,Female,48,5897,,,
110,Male,33,18701,,,
111,Male,22,14957,,,
112,Male,33,19344,,,
113,Male,56,25900,,,
114,Female,38,5927,,,
115,Male,62,21263,,,
116,Male,33,19872,,,
117,Male,61,19825,,,
118,Female,32,6772,,,
119,Male,36,14402,,,
120,Female,30,7530,,,
121,Female,37,14538,,,
122,Male,36,34694,,,
123,Male,64,13426,,,
124,Female,22,30300,,,
125,Male,37,20037,,,
126,Female,18,10637,,,
127,Male,33,4553,,,
128,Female,20,5074,,,
129,Male,21,7853,,,
130,Male,39,18725,,,
131,Male,61,21943,,,
132,Male,33,22604,,,
133,Male,23,16405,,,
134,Male,37,3478,,,
135,Male,36,12472,,,
136,Male,34,14364,,,
137,Male,33,2049,,,
138,Male,36,19123,,,
139,Male,38,7130,,,
140,Female,35,12570,,,
141,Male,23,11097,,,
142,Male,60,10228,,,
143,Female,20,20256,,,
144,Female,50,19239,,,
145,Female,39,23477,,,
146,Male,19,2608,,,
147,Female,47,16546,,,
148,Male,29,12988,,,
149,Male,49,9649,,,
150,Male,40,8064,,,
151,Female,32,24771,,,
152,Male,25,12708,,,
153,Male,32,27611,,,
154,Male,60,12692,,,
155,Male,52,24396,,,
156,Male,50,21785,,,
157,Male,51,20800,,,
158,Female,56,24768,,,
159,Male,20,3770,,,
160,Male,19,25882,,,
161,Female,31,18655,,,
162,Male,51,28837,,,
163,Female,42,2012,,,
164,Female,20,8619,,,
165,Male,26,9701,,,
166,Male,31,12561,,,
167,Male,60,5974,,,
168,Male,37,32932,,,
169,Female,39,12898,,,
170,Female,62,24477,,,
171,Male,40,2971,,,
172,Female,32,23433,,,
173,Male,24,16425,,,
